"location","price","property_type","postal_code","available","till_move_in_day","minimum_term","maximum_term","furnishings","occupation","gender","min_age","max_age","property_id"
Manchester,1039.20,Flat share,M15,"16/04/2023",0,5,0,Furnished,Student,No preference,,,1991
Manchester,699,House share,M20,"16/04/2023",0,0,0,Furnished,Don't mind,Female,"18",,1116
Manchester,650,House share,M43,"16/04/2023",0,6,0,Furnished,Professional,No preference,"18","35",1117
Manchester,600,Flat share,M21,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,,,1121
Manchester,480,House rent,M20,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,,,1125
Manchester,425,Flat share,M20,"16/04/2023",0,0,6,Furnished,Don't mind,No preference,"22","39",1126
Manchester,400,House share,M9,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"22","50",1127
Manchester,460,House share,M9,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"22","50",1128
Manchester,500,House share,M6,"16/04/2023",0,6,0,Furnished,Student,No preference,"18","60",1130
Manchester,495,Flat share,M6,"16/04/2023",0,6,0,Furnished,Student,No preference,"18",,1131
Manchester,495,House share,M6,"16/04/2023",0,6,0,Furnished,Student,No preference,"18","65",1133
Manchester,495,House rent,M12,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,,,1134
Manchester,380,House share,M14,"16/04/2023",0,6,0,Furnished,Professional,No preference,"25",,1183
Manchester,610,House share,M21,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,"19","99",1186
Manchester,650,Flat share,M16,"16/04/2023",0,0,0,Unfurnished,Don't mind,No preference,"20","50",1201
Manchester,650,Flat share,M20,"16/04/2023",0,12,0,Furnished,Don't mind,No preference,"20","30",1202
Manchester,700,Flat share,M5,"16/04/2023",0,5,5,Furnished,Professional,No preference,,,1203
Manchester,399,House share,M32,"16/04/2023",0,3,12,Furnished,Don't mind,Female,"20","50",1204
Manchester,600,House share,M22,"16/04/2023",0,12,0,Furnished,Don't mind,No preference,"18",,1206
Manchester,550,Flat share,M14,"16/04/2023",0,3,36,Furnished,Professional,No preference,"25","50",1207
Manchester,525,House share,M14,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"18","50",1208
Manchester,640,House share,M34,"16/04/2023",0,4,0,Furnished,Professional,No preference,,,1210
Manchester,560,Flat share,M20,"16/04/2023",0,6,0,Furnished,Don't mind,Female,"25","35",1212
Manchester,430,House share,M32,"16/04/2023",0,3,0,Furnished,Professional,No preference,"20","99",1216
Manchester,500,Flat share,M16,"16/04/2023",0,1,0,Furnished,Don't mind,No preference,"20","45",1217
Manchester,625,Flat share,M20,"16/04/2023",0,8,0,Furnished,Don't mind,No preference,"22","29",1224
Manchester,575,Flat share,M20,"16/04/2023",0,8,0,Furnished,Professional,No preference,"21","31",1225
Manchester,650,House share,M20,"16/04/2023",0,8,0,Furnished,Don't mind,Male,"20","30",1226
Manchester,800,House share,M11,"16/04/2023",0,0,12,Furnished,Don't mind,No preference,"20","40",1228
Manchester,468,House share,M14,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,,,1235
Manchester,580,Shared property,M43,"16/04/2023",0,6,0,Furnished,Professional,No preference,"21",,1054
Manchester,600,Flat share,M15,"16/04/2023",0,11,0,Furnished,Professional,No preference,"25","35",1057
Manchester,395,House share,M6,"16/04/2023",0,6,12,Unfurnished,Don't mind,No preference,"18","22",1061
Manchester,550,Flat share,M15,"16/04/2023",0,4,0,Furnished,Don't mind,No preference,"18","99",1064
Manchester,699,House share,M20,"16/04/2023",0,0,0,Furnished,Don't mind,Female,"18",,1065
Manchester,575,House share,M5,"16/04/2023",0,4,0,Furnished,Don't mind,No preference,"18","65",1067
Manchester,600,Flat rent,M14,"01/07/2023",76,12,0,Furnished,Student,No preference,,,1058
Manchester,665,Flat share,M15,"16/04/2023",0,5,5,Furnished,Don't mind,No preference,"18","27",1068
Manchester,500,House share,M12,"16/04/2023",0,6,0,Furnished,Don't mind,Female,"19","28",1071
Manchester,550,Flat rent,M28,"16/04/2023",0,3,0,Furnished,Professional,No preference,,,1075
Manchester,403,House share,M5,"22/05/2023",36,0,0,Furnished,Don't mind,No preference,,,1063
Manchester,390,House share,M43,"11/05/2023",25,0,0,Furnished,Don't mind,No preference,"18","30",1066
Manchester,460,Flat share,M19,"16/04/2023",0,1,2,Furnished,Professional,No preference,"18","70",1079
Manchester,450,House share,M20,"01/06/2023",46,6,0,Furnished,Professional,No preference,"20","26",1070
Manchester,385,House share,M21,"12/06/2023",57,6,0,Furnished,Don't mind,No preference,,,1072
Manchester,600,House share,M11,"16/04/2023",0,0,0,Furnished,Professional,Female,,,1083
Manchester,550,Flat share,M4,"26/06/2023",71,12,0,Furnished,Professional,Female,"24","29",1074
Manchester,595,House share,M14,"01/05/2023",15,6,0,Furnished,Don't mind,No preference,"20","46",1076
Manchester,600,House share,M18,"30/04/2023",14,3,9,Furnished,Don't mind,No preference,"40","66",1077
Manchester,650,House share,M40,"16/04/2023",0,6,0,Furnished,Don't mind,Female,"28",,1236
Manchester,548,Flat share,M5,"23/04/2023",7,3,0,Furnished,Professional,No preference,"22","27",1080
Manchester,580,House share,M27,"30/04/2023",14,6,0,Furnished,Don't mind,No preference,"25","50",1081
Manchester,800,Flat share,M5,"01/08/2023",107,1,1,Furnished,Don't mind,No preference,"20","40",1082
Manchester,750,House share,M7,"05/05/2023",19,6,0,Furnished,Don't mind,No preference,"18","45",1084
Manchester,1000,Flat share,M4,"01/05/2023",15,3,6,Furnished,Don't mind,No preference,"21","45",1085
Manchester,725,Flat share,M1,"15/05/2023",29,6,0,Furnished,Professional,No preference,"26","40",1086
Manchester,298,Flat share,M21,"12/05/2023",26,6,0,Furnished,Professional,No preference,"23","32",1088
Manchester,400,Flat share,M5,"01/05/2023",15,6,0,Furnished,Professional,No preference,,,1091
Manchester,850,House share,M27,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,"25",,1087
Manchester,550,Flat share,M15,"05/05/2023",19,6,0,Furnished,Don't mind,No preference,,,1093
Manchester,912,Flat share,M4,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,,"35",1089
Manchester,600,Flat share,M14,"15/05/2023",29,3,4,Furnished,Don't mind,Female,"22","35",1096
Manchester,850,House share,M27,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,"25",,1090
Manchester,550,House share,M6,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,"25",,1095
Manchester,695,House share,M25,"29/05/2023",43,6,0,Furnished,Professional,No preference,"23","40",1099
Manchester,675,Flat share,M1,"22/06/2023",67,12,12,Furnished,Don't mind,No preference,,,1100
Manchester,525,Flat share,M5,"06/05/2023",20,1,0,Furnished,Professional,No preference,"26","30",1101
Manchester,400,Flat share,M13,"01/05/2023",15,3,0,Furnished,Don't mind,Male,"18","60",1102
Manchester,550,House share,M15,"20/04/2023",4,9,0,Furnished,Don't mind,No preference,,,1103
Manchester,500,Shared property,M13,"16/04/2023",0,3,0,Furnished,Professional,No preference,"21","49",1106
Manchester,600,House share,M7,"05/05/2023",19,6,0,Furnished,Professional,No preference,"20","40",1105
Manchester,750,Shared property,M5,"05/05/2023",19,6,0,Furnished,Professional,No preference,"20","35",1109
Manchester,875,Flat share,M15,"01/06/2023",46,6,0,Furnished,Professional,Female,"24","32",1110
Manchester,575,House share,M20,"28/04/2023",12,7,0,Furnished,Don't mind,No preference,"21","33",1112
Manchester,325,Flat share,M5,"15/05/2023",29,3,0,Furnished,Professional,No preference,"25","60",1114
Manchester,625,House share,M6,"08/05/2023",22,6,0,Furnished,Professional,No preference,"20","35",1115
Manchester,620,Shared property,M32,"16/04/2023",0,3,0,Furnished,Professional,No preference,"21","49",1107
Manchester,595,House share,M7,"16/04/2023",0,6,0,Furnished,Professional,No preference,"20","35",1108
Manchester,780,House share,M7,"01/05/2023",15,3,0,Furnished,Don't mind,No preference,,,1118
Manchester,575,House share,M6,"17/04/2023",1,12,0,Furnished,Don't mind,No preference,"18","30",1119
Manchester,920,House share,M30,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,"18","75",1111
Manchester,450,Flat share,M32,"16/04/2023",0,7,0,Furnished,Professional,No preference,"21","50",1113
Manchester,600,Flat rent,M14,"01/05/2023",15,6,0,Furnished,Don't mind,No preference,,,1122
Manchester,600,Flat share,M20,"01/05/2023",15,6,0,Furnished,Don't mind,No preference,,,1123
Manchester,480,Flat share,M16,"01/05/2023",15,6,0,Furnished,Don't mind,No preference,,,1124
Manchester,500,Flat share,M32,"16/04/2023",0,0,0,Unfurnished,Don't mind,No preference,"22",,1238
Manchester,500,Flat share,M32,"16/04/2023",0,6,0,Unfurnished,Student,No preference,"25","30",1239
Manchester,455,Flat share,M14,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,,,1255
Manchester,525,Flat share,M14,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,,,1256
Manchester,460,House rent,M14,"01/07/2023",76,12,0,Furnished,Don't mind,No preference,,,1129
Manchester,600,House share,M6,"16/04/2023",0,6,0,Furnished,Don't mind,Female,"18","40",1261
Manchester,560,House share,M34,"16/04/2023",0,6,0,Furnished,Professional,No preference,"21","40",1262
Manchester,650,House share,M28,"16/04/2023",0,1,0,Furnished,Professional,No preference,"18","65",1264
Manchester,675,House share,M6,"16/04/2023",0,6,0,Furnished,Professional,No preference,"21","35",1267
Manchester,595,House share,M20,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"18","34",1268
Manchester,495,House rent,M13,"01/07/2023",76,10,0,Furnished,Don't mind,No preference,,,1135
Manchester,625,House share,M27,"16/04/2023",0,6,0,Furnished,Professional,No preference,"21","35",1269
Manchester,550,Flat share,M14,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"19","50",1138
Manchester,685,House share,M32,"16/04/2023",0,6,0,Furnished,Professional,No preference,"21",,1142
Manchester,550,Flat share,M16,"01/05/2023",15,0,0,Furnished,Don't mind,No preference,"18","30",1141
Manchester,550,House share,M4,"16/04/2023",0,3,0,Unfurnished,Don't mind,No preference,,,1144
Manchester,350,House share,M6,"11/06/2023",56,12,0,Furnished,Student,No preference,"18",,1147
Manchester,700,Flat share,M19,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"18",,1145
Manchester,420,House share,M5,"16/04/2023",0,12,0,Furnished,Professional,No preference,"18",,1146
Manchester,900,House share,M7,"16/04/2023",0,6,0,Furnished,Professional,No preference,"18","99",1149
Manchester,585,House share,M20,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"19","35",1153
Manchester,585,House share,M14,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"18","35",1154
Manchester,600,House share,M16,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,"22","30",1164
Manchester,625,House share,M9,"16/04/2023",0,6,0,Furnished,Professional,No preference,"23","35",1165
Manchester,1100,Flat share,M13,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,"21","65",1167
Manchester,695,House share,M5,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"22","35",1168
Manchester,650,House share,M5,"16/04/2023",0,6,0,Furnished,Professional,Female,"24","40",1169
Manchester,625,House share,M11,"16/04/2023",0,3,0,Furnished,Professional,No preference,"25","50",1172
Manchester,625,House share,M20,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"21",,1174
Manchester,625,Flat rent,M5,"16/04/2023",0,1,0,Furnished,Don't mind,No preference,,,1175
Manchester,500,Flat share,M4,"30/04/2023",14,3,0,Furnished,Professional,No preference,"25","45",1166
Manchester,650,House share,M14,"02/05/2023",16,3,0,Furnished,Don't mind,No preference,"18","65",1170
Manchester,560,House share,M13,"30/04/2023",14,6,0,Furnished,Don't mind,No preference,"18","40",1171
Manchester,525,House share,M29,"28/04/2023",12,6,0,Furnished,Professional,No preference,,,1173
Manchester,625,House rent,M30,"09/06/2023",54,1,0,Furnished,Don't mind,No preference,,,1177
Manchester,625,Flat rent,M20,"18/04/2023",2,6,12,Part Furnished,Don't mind,No preference,,,1181
Manchester,625,Flat rent,M1,"16/04/2023",0,1,0,Furnished,Don't mind,No preference,,,1176
Manchester,625,Flat rent,M1,"16/04/2023",0,1,0,Furnished,Don't mind,No preference,,,1178
Manchester,625,Flat rent,M4,"16/04/2023",0,1,0,Furnished,Don't mind,No preference,,,1179
Manchester,625,Flat rent,M4,"16/04/2023",0,1,0,Furnished,Don't mind,No preference,,,1180
Manchester,450,House share,M8,"01/05/2023",15,3,12,Furnished,Don't mind,Male,"25","99",1187
Manchester,450,House share,M26,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"20","59",1182
Manchester,495,Flat share,M6,"16/04/2023",0,6,0,Furnished,Professional,No preference,"21","35",1270
Manchester,600,House share,M30,"01/06/2023",46,3,0,Furnished,Don't mind,No preference,"25",,1190
Manchester,550,Flat share,M3,"01/05/2023",15,6,0,Furnished,Don't mind,Female,,,1192
Manchester,600,Flat rent,M14,"16/04/2023",0,3,0,Furnished,Student,No preference,,,1191
Manchester,550,House share,M22,"01/05/2023",15,3,12,Furnished,Professional,No preference,"18","45",1198
Manchester,390,House share,M19,"16/04/2023",0,4,0,Furnished,Don't mind,No preference,,,1193
Manchester,500,House share,M41,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,"21","55",1194
Manchester,400,House share,M14,"16/04/2023",0,1,6,Furnished,Don't mind,No preference,"21","35",1195
Manchester,550,House share,M27,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"18","65",1196
Manchester,500,House share,M40,"16/04/2023",0,6,0,Furnished,Don't mind,Male,,,1199
Manchester,600,Flat share,M30,"16/04/2023",0,1,0,Furnished,Don't mind,No preference,,,1200
Manchester,625,House share,M30,"16/04/2023",0,6,0,Furnished,Professional,No preference,"21","35",1271
Manchester,475,House share,M6,"16/04/2023",0,6,0,Furnished,Professional,No preference,"21","35",1272
Manchester,800,Flat share,M15,"01/06/2023",46,6,0,Furnished,Professional,No preference,"21","33",1209
Manchester,560,House share,M20,"16/04/2023",0,6,0,Furnished,Don't mind,No preference,"21","35",1278
Manchester,660,House share,M13,"01/05/2023",15,6,0,Furnished,Professional,Male,"24","38",1211
Manchester,695,House share,M32,"16/04/2023",0,6,0,Furnished,Professional,No preference,"21","45",1283
Manchester,650,House share,M19,"13/05/2023",27,6,0,Furnished,Don't mind,Female,,,1213
Manchester,520,House share,M13,"01/07/2023",76,12,0,Furnished,Don't mind,Female,"18","26",1214
Manchester,525,Flat share,M4,"11/05/2023",25,0,0,Furnished,Professional,Female,"24","35",1215
Manchester,550,House share,M24,"16/04/2023",0,0,0,Furnished,Don't mind,No preference,,,1285
Manchester,785,House share,M16,"16/04/2023",0,0,0,Furnished,Professional,No preference,"40",,1286
Manchester,500,House rent,M19,"12/05/2023",26,6,0,Part Furnished,Professional,No preference,,,1218
Manchester,625,House share,M20,"01/05/2023",15,8,0,Furnished,Don't mind,Female,"22","32",1219
