price,per,monthly_converted,property_type,postal_code_area,Available,Minimum term,Maximum term,Furnishings,Parking,Garage,Garden/terrace,Balcony/patio,Disabled access,Living room,Broadband included,Couples OK?,Smoking OK?,Pets OK?,Occupation,References?,Gender,Vegetarian,Min age,Max age
727,pcm,,Shared property,SE9,Now,0,0,Furnished,Yes,No,Yes,No,No,shared,Yes,No,No,No,Don't mind,Yes,No preference,,,
245,pcm,,Shared property,SW9,01/06/2023,0,2,Furnished,Yes,,Yes,,Yes,shared,Yes,No,Yes,No,Student,Yes,No preference,Yes,,
800,pcm,,Flat share,E6,Now,3,0,Furnished,No,Yes,Yes,Yes,Yes,shared,Yes,No,No,No,Professional,No,No preference,,,
700,pcm,,Flat share,N13,01/05/2023,4,0,Furnished,Yes,,,,,shared,No,No,No,No,Professional,Yes,Female,,22,35
850,pcm,,Flat share,E14,Now,6,0,Furnished,No,No,No,No,No,No,Yes,No,No,No,Don't mind,Yes,No preference,,18,37
850,pcm,,Flat rent,N1,01/06/2023,12,0,Furnished,No,No,No,No,No,,,,Yes,No,Don't mind,Yes,No preference,,,
850,pcm,,House rent,E4,Now,12,0,Part Furnished,Yes,Yes,Yes,No,Yes,,,,Yes,Yes,Don't mind,Yes,No preference,,,
200,pw,866.00,House share,W3,Now,0,0,Furnished,No,No,Yes,No,No,shared,Yes,No,Yes,No,Don't mind,No,No preference,,,
800,pcm,,Flat share,SW18,20/05/2023,0,0,Furnished,Yes,No,No,No,No,shared,Yes,No,No,No,Professional,Yes,Female,,23,33
250,pw,1082.50,Flat share,E8,08/05/2023,4,0,Furnished,No,No,No,Yes,No,shared,Yes,Yes,Yes,No,Don't mind,Yes,No preference,,,
1150,pcm,,Flat share,E1,Now,4,0,Furnished,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Don't mind,No,No preference,,18,
1150,pcm,,Flat rent,E14,Now,12,12,Furnished,No,No,No,No,No,,,,Yes,No,Don't mind,No,No preference,,,
1250,pcm,,Flat share,W14,13/05/2023,6,0,Furnished,Yes,,,Yes,,shared,Yes,No,Yes,No,Professional,No,No preference,,28,36
598,pcm,,Shared property,SW15,28/04/2023,6,36,Furnished,Yes,No,No,Yes,No,shared,No,No,Yes,No,Don't mind,No,No preference,,,
913,pcm,,Flat share,SW11,28/05/2023,12,0,Furnished,No,No,Yes,No,No,shared,No,No,No,No,Professional,Yes,Female,,23,
670,pcm,,Flat share,E15,07/05/2023,6,0,Furnished,No,No,No,No,No,shared,Yes,No,No,No,Don't mind,No,No preference,,20,36
212,pw,917.96,Flat share,EC1,15/05/2023,6,0,Furnished,No,No,Yes,No,No,shared,No,No,No,No,Professional,Yes,No preference,,,
212,pw,917.96,Flat rent,N13,01/05/2023,6,0,Part Furnished,Yes,No,No,No,No,,,,No,No,Professional,Yes,No preference,,,
910,pcm,,Flat share,W9,18/05/2023,6,0,Furnished,No,No,Yes,No,No,shared,Yes,No,No,No,Professional,Yes,Female,,30,60
900,pcm,,Flat share,N15,Now,3,0,Furnished,No,,,,,,,Yes,Yes,No,Don't mind,No,No preference,,,
325,pw,1407.25,Flat share,SE11,19/05/2023,4,0,Furnished,No,,,,,No,Yes,No,Yes,No,Student,Yes,No preference,Yes,,
995,pcm,,Flat share,E14,01/05/2023,6,0,Furnished,No,No,No,No,No,No,Yes,No,No,No,Don't mind,Yes,No preference,,,
699,pcm,,House share,SE9,Now,3,0,Furnished,Yes,,Yes,,,shared,Yes,No,No,No,Professional,Yes,No preference,,18,99
1000,pcm,,Shared property,E1,Now,3,36,Furnished,No,,Yes,,,shared,Yes,No,No,No,Professional,Yes,No preference,,18,65
795,pcm,,Flat share,E1,Now,6,0,Furnished,No,No,No,No,No,No,No,No,Yes,No,Professional,No,No preference,,,28
280,pw,1212.40,Flat share,SE12,Now,3,0,Furnished,No,No,No,No,No,No,Yes,Yes,Yes,No,Don't mind,Yes,No preference,,,
990,pcm,,House share,NW9,Now,12,0,Furnished,No,,Yes,,,,Yes,No,No,No,Don't mind,Yes,No preference,,,
900,pcm,,House share,SE9,Now,3,0,Furnished,Yes,Yes,Yes,Yes,No,shared,Yes,No,Yes,Yes,Don't mind,Yes,Female,,28,
1250,pcm,,Flat share,N7,Now,5,5,Furnished,No,No,Yes,No,No,No,Yes,No,No,No,Professional,Yes,No preference,,21,35
1400,pcm,,Flat share,EC1,02/05/2023,6,0,Furnished,No,No,No,No,No,shared,Yes,No,No,No,Don't mind,No,No preference,,18,
750,pcm,,Flat share,E9,15/05/2023,6,0,Furnished,No,,,Yes,,shared,No,No,No,No,Professional,Yes,Female,,20,30
1192,pcm,,Flat share,NW1,23/04/2023,5,24,Furnished,Yes,No,Yes,No,No,shared,Yes,Yes,Yes,No,Student,Yes,No preference,,20,30
875,pcm,,Flat share,W2,12/05/2023,3,0,Furnished,No,No,No,No,No,shared,Yes,No,No,No,Professional,Yes,No preference,,20,99
990,pcm,,Flat share,E17,Now,6,0,Furnished,No,No,No,No,No,shared,Yes,No,Yes,No,Don't mind,Yes,No preference,,18,
1000,pcm,,Flat share,E2,13/05/2023,12,0,Furnished,Yes,No,No,Yes,No,shared,Yes,No,Yes,No,Professional,Yes,No preference,,23,30
600,pcm,,Flat share,SW17,Now,0,0,Furnished,No,No,Yes,Yes,No,shared,Yes,No,No,No,Don't mind,No,Female,,20,65
755,pcm,,Flat share,E14,01/05/2023,5,5,Furnished,Yes,No,No,Yes,Yes,shared,No,No,Yes,No,Don't mind,Yes,No preference,,19,50
755,pcm,,Flat rent,W12,26/05/2023,12,0,Furnished,No,No,Yes,No,No,,,,Yes,No,Don't mind,Yes,No preference,,,
300,pw,1299.00,Flat share,E1,05/05/2023,3,3,Furnished,No,No,No,No,No,shared,Yes,No,Yes,No,Student,No,No preference,,,24
750,pcm,,Flat share,W3,Now,6,0,Furnished,Yes,Yes,Yes,Yes,No,shared,Yes,No,No,No,Professional,Yes,No preference,,30,55
1200,pcm,,House share,SE16,24/04/2023,6,0,Furnished,Yes,No,Yes,No,No,shared,Yes,No,No,No,Professional,Yes,Female,,21,35
650,pcm,,Flat share,SW2,01/06/2023,3,0,Furnished,Yes,No,No,No,No,shared,Yes,No,No,No,Professional,Yes,Female,,24,40
850,pcm,,House share,N20,23/04/2023,3,0,Furnished,Yes,Yes,Yes,,,,Yes,No,No,No,Don't mind,No,No preference,,30,
1200,pcm,,Flat share,E3,07/05/2023,12,0,Furnished,No,No,No,Yes,No,shared,No,No,No,No,Professional,Yes,No preference,,,
750,pcm,,Flat share,SW20,Now,6,0,Furnished,No,,,,,shared,Yes,No,No,No,Professional,Yes,No preference,,27,99
900,pcm,,Flat share,SW6,Now,6,0,Furnished,No,No,No,No,No,No,Yes,No,No,No,Don't mind,Yes,No preference,,,
750,pcm,,House share,E17,17/04/2023,6,0,Furnished,No,,,,,No,Yes,No,No,No,Don't mind,Yes,No preference,,18,60
1500,pcm,,Flat share,E3,14/05/2023,6,0,Furnished,No,No,No,Yes,No,shared,Yes,No,No,No,Professional,Yes,No preference,,30,45
850,pcm,,Flat share,SW15,20/04/2023,5,0,Furnished,No,No,No,No,No,No,No,No,No,No,Don't mind,Yes,No preference,,18,45
750,pcm,,Flat share,SW6,Now,3,0,Furnished,No,No,No,Yes,No,No,No,No,No,No,Don't mind,Yes,No preference,,18,50
700,pcm,,House share,E13,Now,2,0,Furnished,No,,Yes,,,,Yes,No,No,No,Professional,Yes,No preference,,23,60
750,pcm,,Flat share,SW18,24/04/2023,6,0,Furnished,Yes,,,,,shared,Yes,No,No,No,Professional,Yes,Male,,25,35
1150,pcm,,Flat share,W3,Now,0,2,Furnished,Yes,No,No,No,No,shared,Yes,No,No,No,Professional,Yes,No preference,,28,55
1000,pcm,,House share,EC1,16/05/2023,6,0,Furnished,No,,Yes,Yes,,shared,Yes,No,No,No,Professional,No,No preference,,25,35
900,pcm,,Flat share,W2,30/04/2023,6,0,Furnished,No,,,Yes,,No,Yes,No,No,No,Don't mind,Yes,No preference,,18,65
1450,pcm,,Flat share,NW3,Now,12,0,Furnished,No,No,Yes,Yes,No,shared,Yes,No,No,No,Professional,Yes,Male,,35,
190,pw,822.70,Flat share,E3,01/05/2023,6,0,Furnished,No,No,Yes,No,No,No,Yes,No,Yes,No,Don't mind,No,No preference,,18,35
850,pcm,,Flat share,SE10,Now,0,0,Furnished,Yes,No,No,No,No,No,Yes,No,Yes,No,Don't mind,Yes,No preference,,,
850,pcm,,Flat rent,E1,Now,4,4,Furnished,Yes,No,No,Yes,No,,,,Yes,No,Don't mind,Yes,No preference,,,
899,pcm,,Flat share,W9,15/05/2023,6,0,Furnished,No,,,,,,Yes,No,Yes,No,Don't mind,No,No preference,,,
850,pcm,,Flat share,N1,Now,3,0,Furnished,Yes,No,No,No,No,shared,Yes,No,No,No,Don't mind,Yes,Female,,21,
210,pw,909.30,Flat share,E2,29/05/2023,6,0,Furnished,No,No,No,No,No,No,Yes,No,Yes,No,Don't mind,Yes,No preference,,,
650,pcm,,House share,SW19,27/04/2023,6,0,Furnished,No,No,Yes,No,No,No,Yes,No,No,No,Professional,No,No preference,,,
220,pw,952.60,Flat share,E14,23/05/2023,6,0,Furnished,No,No,No,No,No,No,Yes,Yes,Yes,No,Don't mind,Yes,No preference,,,
345,pw,1493.85,Flat share,W12,19/05/2023,6,0,Furnished,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Don't mind,Yes,No preference,,,
345,pw,1493.85,Flat rent,N19,17/05/2023,12,0,Part Furnished,No,,,,,,,,Yes,No,Don't mind,Yes,No preference,,,
1350,pcm,,Shared property,SW5,25/04/2023,1,0,Furnished,No,No,Yes,Yes,No,shared,Yes,No,Yes,No,Don't mind,No,No preference,,21,
401,pw,1736.33,Flat share,E1,20/04/2023,2,4,Furnished,Yes,Yes,Yes,Yes,,shared,No,No,No,Yes,Don't mind,No,Female,,19,32
225,pw,974.25,Flat share,N7,10/05/2023,6,0,Furnished,No,No,No,No,No,No,Yes,No,Yes,No,Don't mind,Yes,No preference,,,
1100,pcm,,Flat share,N5,23/04/2023,18,0,Furnished,No,No,No,No,No,shared,No,No,No,No,Professional,Yes,No preference,,24,
305,pw,1320.65,Flat share,E14,14/05/2023,6,0,Furnished,No,No,No,Yes,No,shared,Yes,Yes,Yes,No,Don't mind,Yes,No preference,,,
1050,pcm,,Flat share,W10,Now,12,0,Furnished,No,No,No,Yes,No,No,Yes,No,Yes,No,Don't mind,Yes,No preference,,,
1050,pcm,,Flat rent,W3,01/05/2023,3,0,Furnished,No,,,Yes,,,,,Yes,No,Don't mind,No,No preference,,,
1050,pcm,,Flat rent,W3,01/05/2023,3,0,Furnished,No,,,Yes,,,,,Yes,No,Don't mind,No,No preference,,,
265,pw,1147.45,Flat share,NW8,Now,6,0,Furnished,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Don't mind,Yes,No preference,,,
220,pw,952.60,Flat share,E3,Now,5,0,Furnished,No,No,No,No,No,No,Yes,No,Yes,No,Don't mind,No,No preference,,,
1275,pcm,,Flat share,NW5,Now,7,0,Furnished,No,,Yes,Yes,,shared,Yes,No,Yes,No,Don't mind,No,No preference,,24,40
1099,pcm,,Flat share,WC1,Now,10,0,Furnished,No,No,No,No,No,No,Yes,No,Yes,No,Don't mind,Yes,No preference,,,
215,pw,930.95,Flat share,E14,Now,6,0,Furnished,No,No,No,Yes,No,shared,Yes,No,Yes,No,Don't mind,Yes,No preference,,,
1550,pcm,,Flat share,N1,15/06/2023,2,15,Furnished,No,No,Yes,Yes,Yes,shared,Yes,No,No,No,Professional,Yes,No preference,,25,45
250,pw,1082.50,Flat share,SE10,17/04/2023,6,0,Furnished,No,No,No,Yes,No,shared,Yes,No,Yes,No,Don't mind,Yes,No preference,,,
